building_id,unit,name,category,start_year,end_year,start_precision,confidence,source_ids
b-327-14th,corner storefront,Gray's Campus Drug,pharmacy,1904,1990,circa,low,src-phd-tour;src-wiki
b-327-14th,corner storefront,Loring Pasta Bar,restaurant,2001,2018,circa,medium,src-wiki
b-327-14th,corner storefront,Gray's,restaurant,2019,,circa,medium,src-wiki
b-321-14th,storefront,Dayton's University Store,department store,1925,1955,circa,low,src-alumni
b-321-14th,storefront,Retail (placeholder),retail,1956,,circa,placeholder,src-placeholder
b-313-14th,storefront,Shop (placeholder),retail,1910,1973,circa,placeholder,src-placeholder
b-313-14th,upstairs,Annie's Parlour,restaurant,1974,2020,circa,medium,src-wiki
b-313-14th,upstairs,Annie's Parlour,restaurant,2023,,circa,low,src-placeholder
b-1315-4th,whole,Dwelling (placeholder),residence,1890,1925,circa,placeholder,src-placeholder
b-1315-4th-2,storefront,Campus bookstore (placeholder),bookstore,1926,1970,circa,placeholder,src-placeholder
b-1315-4th-2,storefront,Record store (placeholder),music,1975,1995,circa,placeholder,src-placeholder
b-1315-4th-2,storefront,Restaurant (placeholder),restaurant,2000,,circa,placeholder,src-placeholder
b-1308-4th,whole,University Theater,theater,1915,1938,circa,medium,src-phd-tour
b-1308-4th,whole,Varsity Theater,theater,1938,1988,circa,medium,src-wiki
b-1308-4th,whole,Church (placeholder),church,1990,2004,circa,low,src-placeholder
b-1308-4th,whole,Varsity Theater (music venue),venue,2005,2018,circa,medium,src-wiki
b-1308-4th,whole,Varsity Theater,venue,2021,,circa,medium,src-wiki
b-1316-4th,storefront,Storefronts (placeholder),retail,1920,2012,circa,placeholder,src-placeholder
b-1316-4th,storefront,The Book House,bookstore,2013,,exact,medium,src-alumni
b-413-14th,whole,Storage (placeholder),other,1930,1949,circa,placeholder,src-placeholder
b-413-14th,whole,Al's Breakfast,diner,1950,,exact,high,src-wiki-als
b-411-14th,storefront,Storefront (placeholder),retail,1912,,circa,placeholder,src-placeholder
b-425-14th,storefront,Shop (placeholder),retail,1925,1965,circa,placeholder,src-placeholder
b-425-14th,storefront,The Podium,music shop,1966,2022,circa,low,src-placeholder
b-425-14th,upstairs,The Book House,bookstore,1976,2012,circa,low,src-alumni
b-425-14th,storefront,Music shop (placeholder),music shop,2023,,circa,placeholder,src-placeholder
b-house-of-hanson,whole,House of Hanson,grocery,1932,2013,circa,medium,src-alumni
b-venue,whole,The Venue at Dinkytown,apartments,2014,,circa,low,src-placeholder
b-marshall,whole,The Marshall,apartments,2015,,circa,low,src-placeholder
b-406-14th,storefront,Shop (placeholder),retail,1918,1955,circa,placeholder,src-placeholder
b-406-14th,storefront,Vescio's Italian Restaurant,restaurant,1956,2015,circa,low,src-placeholder
b-406-14th,storefront,Restaurant (placeholder),restaurant,2016,,circa,placeholder,src-placeholder
b-414-14th,storefront,Storefront (placeholder),retail,1905,1957,circa,placeholder,src-placeholder
b-414-14th,storefront,Ten O'Clock Scholar,coffeehouse,1958,1963,circa,medium,src-popspots
b-414-14th,storefront,Shop (placeholder),retail,1964,2012,circa,placeholder,src-placeholder
b-1400-4th,corner,Bank (placeholder),bank,1908,1960,circa,placeholder,src-placeholder
b-1400-4th,corner,Fast food (placeholder),restaurant,1975,,circa,placeholder,src-placeholder
b-1414-4th,whole,Grocer (placeholder),grocery,1888,1962,circa,placeholder,src-placeholder
b-1414-4th-2,whole,Bank branch (placeholder),bank,1963,2010,circa,placeholder,src-placeholder
b-1414-4th-2,whole,Pharmacy (placeholder),pharmacy,2011,,circa,placeholder,src-placeholder
b-1401-4th,corner,Drugstore (placeholder),pharmacy,1902,1950,circa,placeholder,src-placeholder
b-1401-4th,corner,Bar (placeholder),bar,1950,,circa,placeholder,src-placeholder
b-1411-4th,storefront,Café (placeholder),restaurant,1930,2016,circa,placeholder,src-placeholder
b-1411-4th-2,whole,Student apartments (placeholder),apartments,2018,,circa,placeholder,src-placeholder
